Emma , Babble
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
Olivia , Ethan
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
Sophia , Joseph
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
19 , gift19
Ava , Jayden
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
 , 
