Emma , Cooper
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
Avery , Jayden
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
Evelyn , Babble
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
Madison , Angel
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
Sofia , Elijah
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Harper , Christopher
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
Olivia , Joshua
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
Grace , Jackson
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
Abigail , Austin
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Amelia , Dominic
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
Mia , Chase
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
19 , gift19
20 , gift20
Ava , Dylan
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
Elizabeth , Grayson
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Chloe , Joseph
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Ella , Aaron
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Charlotte , Liam
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
Isabella , Thomas
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
19 , gift19
20 , gift20
Sophia , Isaac
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
19 , gift19
Emily , Eli
0 , gift0
1 , gift1
2 , gift2
3 , gift3
4 , gift4
5 , gift5
6 , gift6
7 , gift7
8 , gift8
9 , gift9
10 , gift10
11 , gift11
12 , gift12
13 , gift13
14 , gift14
15 , gift15
16 , gift16
17 , gift17
18 , gift18
19 , gift19
 , 
